Open,High,Low,Close,Datetime
"5,031.13","5,038.70","4,999.52","5,005.56",24.00-2.00-16.00 9.00:30.00
"5,003.14","5,032.72","4,999.44","5,029.72",24.00-2.00-15.00 9.00:30.00
"4,976.44","5,002.52","4,956.45","5,000.63",24.00-2.00-14.00 9.00:30.00
"4,967.94","4,971.30","4,920.31","4,953.16",24.00-2.00-13.00 9.00:30.00
"5,026.83","5,048.39","5,016.83","5,021.83",24.00-2.00-12.00 9.00:30.00
"5,004.17","5,030.06","5,000.34","5,026.62",24.00-2.00-9.00 9.00:30.00
"4,995.16","5,000.40","4,987.09","4,997.92",24.00-2.00-8.00 9.00:30.00
"4,973.05","4,999.89","4,969.05","4,995.05",24.00-2.00-7.00 9.00:30.00
"4,950.16","4,957.77","4,934.88","4,954.24",24.00-2.00-6.00 9.00:30.00
"4,957.19","4,957.19","4,918.09","4,942.82",24.00-2.00-5.00 9.00:30.00
"4,916.06","4,975.29","4,907.99","4,958.62",24.00-2.00-2.00 9.00:30.00
"4,861.11","4,906.97","4,853.52","4,906.18",24.00-2.00-1.00 9.00:30.00
"4,899.19","4,906.75","4,845.15","4,845.66",24.00-1.00-31.00 9.00:30.00
"4,925.89","4,931.09","4,916.27","4,924.96",24.00-1.00-30.00 9.00:30.00
"4,892.95","4,929.31","4,887.40","4,927.94",24.00-1.00-29.00 9.00:30.00
"4,888.91","4,906.69","4,881.47","4,890.96",24.00-1.00-26.00 9.00:30.00
"4,886.66","4,898.15","4,869.34","4,894.17",24.00-1.00-25.00 9.00:30.00
"4,888.56","4,903.68","4,865.94","4,868.54",24.00-1.00-24.00 9.00:30.00
"4,856.80","4,866.48","4,844.37","4,864.61",24.00-1.00-23.00 9.00:30.00
"4,853.42","4,868.41","4,844.05","4,850.44",24.00-1.00-22.00 9.00:30.00
"4,796.28","4,842.07","4,785.87","4,839.82",24.00-1.00-19.00 9.00:30.00
"4,760.10","4,785.79","4,740.57","4,780.95",24.00-1.00-18.00 9.00:30.00
"4,739.13","4,744.23","4,714.82","4,739.22",24.00-1.00-17.00 9.00:30.00
"4,772.35","4,782.34","4,747.12","4,765.99",24.00-1.00-16.00 9.00:30.00
"4,791.18","4,802.40","4,768.98","4,783.84",24.00-1.00-12.00 9.00:30.00
"4,792.13","4,798.50","4,739.58","4,780.23",24.00-1.00-11.00 9.00:30.00
"4,759.94","4,790.80","4,756.20","4,783.46",24.00-1.00-10.00 9.00:30.00
"4,741.93","4,765.47","4,730.35","4,756.51",24.00-1.00-9.00 9.00:30.00
"4,703.70","4,764.54","4,699.82","4,763.55",24.00-1.00-8.00 9.00:30.00
"4,690.57","4,721.49","4,682.11","4,697.23",24.00-1.00-5.00 9.00:30.00
"4,697.42","4,726.78","4,687.53","4,688.69",24.00-1.00-4.00 9.00:30.00
"4,725.07","4,729.29","4,699.71","4,704.82",24.00-1.00-3.00 9.00:30.00
"4,745.20","4,754.33","4,722.67","4,742.82",24.00-1.00-2.00 9.00:30.00
"4,782.88","4,788.43","4,751.99","4,769.82",23.00-12.00-29.00 9.00:30.00
"4,786.44","4,793.30","4,780.98","4,783.36",23.00-12.00-28.00 9.00:30.00
"4,773.45","4,785.39","4,768.90","4,781.59",23.00-12.00-27.00 9.00:30.00
"4,758.86","4,784.72","4,758.45","4,774.74",23.00-12.00-26.00 9.00:30.00
"4,753.92","4,772.94","4,736.77","4,754.64",23.00-12.00-22.00 9.00:30.00
"4,724.29","4,748.71","4,708.35","4,746.76",23.00-12.00-21.00 9.00:30.00
"4,764.73","4,778.01","4,697.82","4,698.34",23.00-12.00-20.00 9.00:30.00
"4,743.72","4,768.69","4,743.72","4,768.36",23.00-12.00-19.00 9.00:30.00
"4,725.58","4,749.52","4,725.58","4,740.57",23.00-12.00-18.00 9.00:30.00
"4,714.23","4,725.53","4,704.69","4,719.18",23.00-12.00-15.00 9.00:30.00
"4,721.04","4,738.57","4,694.34","4,719.54",23.00-12.00-14.00 9.00:30.00
"4,646.20","4,709.69","4,643.23","4,707.08",23.00-12.00-13.00 9.00:30.00
"4,618.30","4,643.93","4,608.09","4,643.69",23.00-12.00-12.00 9.00:30.00
"4,593.39","4,623.71","4,593.39","4,622.43",23.00-12.00-11.00 9.00:30.00
"4,576.20","4,609.23","4,574.06","4,604.36",23.00-12.00-8.00 9.00:30.00
"4,568.84","4,590.92","4,565.22","4,585.58",23.00-12.00-7.00 9.00:30.00
"4,586.23","4,590.74","4,546.50","4,549.35",23.00-12.00-6.00 9.00:30.00
"4,557.25","4,578.56","4,551.68","4,567.17",23.00-12.00-5.00 9.00:30.00
"4,564.37","4,572.37","4,546.72","4,569.77",23.00-12.00-4.00 9.00:30.00
"4,559.43","4,599.39","4,554.71","4,594.64",23.00-12.00-1.00 9.00:30.00
"4,554.87","4,569.89","4,537.24","4,567.81",23.00-11.00-30.00 9.00:30.00
"4,571.84","4,587.64","4,547.15","4,550.57",23.00-11.00-29.00 9.00:30.00
"4,545.55","4,568.14","4,540.51","4,554.90",23.00-11.00-28.00 9.00:30.00
"4,554.86","4,560.52","4,546.32","4,550.44",23.00-11.00-27.00 9.00:30.00
"4,555.84","4,560.31","4,552.80","4,559.33",23.00-11.00-24.00 9.00:30.00
"4,553.04","4,568.43","4,545.05","4,556.63",23.00-11.00-22.00 9.00:30.00
"4,538.77","4,542.14","4,525.51","4,538.18",23.00-11.00-21.00 9.00:30.00
"4,511.70","4,557.11","4,510.36","4,547.39",23.00-11.00-20.00 9.00:30.00
"4,509.55","4,520.12","4,499.66","4,514.03",23.00-11.00-17.00 9.00:30.00
"4,497.08","4,511.99","4,487.83","4,508.23",23.00-11.00-16.00 9.00:30.00
"4,505.30","4,521.17","4,495.31","4,502.89",23.00-11.00-15.00 9.00:30.00
"4,458.97","4,508.67","4,458.97","4,495.71",23.00-11.00-14.00 9.00:30.00
"4,406.66","4,421.76","4,393.82","4,411.54",23.00-11.00-13.00 9.00:30.00
"4,364.15","4,418.03","4,353.34","4,415.23",23.00-11.00-10.00 9.00:30.00
"4,391.41","4,393.40","4,343.94","4,347.36",23.00-11.00-9.00 9.00:30.00
"4,384.37","4,391.20","4,359.76","4,382.79",23.00-11.00-8.00 9.00:30.00
"4,366.21","4,386.26","4,355.41","4,378.37",23.00-11.00-7.00 9.00:30.00
"4,364.27","4,372.21","4,347.53","4,365.99",23.00-11.00-6.00 9.00:30.00
"4,334.23","4,373.62","4,334.23","4,358.35",23.00-11.00-3.00 9.00:30.00
"4,268.26","4,319.72","4,268.26","4,317.79",23.00-11.00-2.00 9.00:30.00
"4,201.27","4,245.64","4,197.74","4,237.87",23.00-11.00-1.00 9.00:30.00
"4,171.33","4,195.55","4,153.12","4,193.81",23.00-10.00-31.00 9.00:30.00
"4,139.39","4,177.47","4,132.94","4,166.83",23.00-10.00-30.00 9.00:30.00
"4,152.93","4,156.70","4,103.78","4,117.36",23.00-10.00-27.00 9.00:30.00
"4,175.99","4,183.60","4,127.90","4,137.22",23.00-10.00-26.00 9.00:30.00
"4,232.42","4,232.42","4,181.42","4,186.78",23.00-10.00-25.00 9.00:30.00
