Open,High,Low,Close,Datetime
276.2,285.8,256.35,260.35,24.00-8.00-16.00 11.00:55.00
282.3,289,274,276.05,24.00-8.00-16.00 11.00:50.00
298.95,300.4,271.85,283.2,24.00-8.00-16.00 11.00:45.00
313.55,315.15,297.6,299.15,24.00-8.00-16.00 11.00:40.00
303.6,319.9,303,314.5,24.00-8.00-16.00 11.00:35.00
317,317,297.2,304.75,24.00-8.00-16.00 11.00:30.00
374,374,311,316.55,24.00-8.00-16.00 11.00:25.00
384.7,386.5,370,377.55,24.00-8.00-16.00 11.00:20.00
396.3,400,381.15,386.5,24.00-8.00-16.00 11.00:15.00
395.45,396.65,378,393.35,24.00-8.00-16.00 11.00:10.00
376.75,403.55,376.75,395.2,24.00-8.00-16.00 11.00:5.00
374.95,385.1,372.9,376.8,24.00-8.00-16.00 11.00:0.00
377.35,394,374.65,375.3,24.00-8.00-16.00 10.00:55.00
364.9,381.8,358.5,377.35,24.00-8.00-16.00 10.00:50.00
377.35,388.95,360.95,363.8,24.00-8.00-16.00 10.00:45.00
380.45,401,372.9,377.85,24.00-8.00-16.00 10.00:40.00
394.45,399.95,379.95,384.7,24.00-8.00-16.00 10.00:35.00
386.8,412.9,386.45,399,24.00-8.00-16.00 10.00:30.00
358.45,392.25,352.3,387.8,24.00-8.00-16.00 10.00:25.00
351.95,366.55,348,355.65,24.00-8.00-16.00 10.00:20.00
340.55,360,329.65,354.2,24.00-8.00-16.00 10.00:15.00
336.55,349.6,334.25,341.4,24.00-8.00-16.00 10.00:10.00
315.4,343.9,314.2,335,24.00-8.00-16.00 10.00:5.00
328.05,352.2,314.1,314.1,24.00-8.00-16.00 10.00:0.00
322,330,308,329.2,24.00-8.00-16.00 9.00:55.00
296.15,333,296.15,322.15,24.00-8.00-16.00 9.00:50.00
296.8,308.6,290,297.3,24.00-8.00-16.00 9.00:45.00
275,308.8,273.1,297.6,24.00-8.00-16.00 9.00:40.00
254.2,277.3,250.35,273.45,24.00-8.00-16.00 9.00:35.00
256,264.2,249.35,253.95,24.00-8.00-16.00 9.00:30.00
250.25,259.4,242,256.6,24.00-8.00-16.00 9.00:25.00
279.25,281.15,246.9,249.4,24.00-8.00-16.00 9.00:20.00
301.05,321.6,280,280,24.00-8.00-16.00 9.00:15.00
458.4,463.2,455.7,461.7,24.00-8.00-14.00 15.00:25.00
457,459.9,456.15,459.35,24.00-8.00-14.00 15.00:20.00
462,465.95,456.2,456.2,24.00-8.00-14.00 15.00:15.00
453.85,462.25,452.5,462.25,24.00-8.00-14.00 15.00:10.00
449.2,458.45,448.45,458.45,24.00-8.00-14.00 15.00:5.00
464.2,472.15,446.35,446.75,24.00-8.00-14.00 15.00:0.00
449.35,467.85,449.35,465.85,24.00-8.00-14.00 14.00:55.00
462.7,469,448,450.4,24.00-8.00-14.00 14.00:50.00
462.8,465.15,457.55,463.5,24.00-8.00-14.00 14.00:45.00
463.95,477.95,461.7,461.7,24.00-8.00-14.00 14.00:40.00
444.3,464,444.3,463.35,24.00-8.00-14.00 14.00:35.00
450.2,450.2,446.5,446.5,24.00-8.00-14.00 14.00:30.00
449.5,451.45,446.9,450.45,24.00-8.00-14.00 14.00:25.00
438,451,438,449.85,24.00-8.00-14.00 14.00:20.00
445.6,446.2,435.15,438.25,24.00-8.00-14.00 14.00:15.00
444.1,446.3,435.75,445.6,24.00-8.00-14.00 14.00:10.00
453,457.85,445.95,445.95,24.00-8.00-14.00 14.00:5.00
456.45,456.55,451.9,453,24.00-8.00-14.00 14.00:0.00
459.2,468.55,459.2,463.05,24.00-8.00-14.00 13.00:55.00
453.05,458.5,452.35,457.8,24.00-8.00-14.00 13.00:50.00
451.1,455.95,451.1,452.85,24.00-8.00-14.00 13.00:45.00
454.4,454.4,448.35,450.8,24.00-8.00-14.00 13.00:40.00
457.25,459.9,453.4,455,24.00-8.00-14.00 13.00:35.00
454.2,459,448.05,459,24.00-8.00-14.00 13.00:30.00
457.1,465,453.85,455.4,24.00-8.00-14.00 13.00:25.00
451.45,461.75,451.35,458.65,24.00-8.00-14.00 13.00:20.00
437.85,450.9,437.25,449.5,24.00-8.00-14.00 13.00:15.00
429,438.05,429,438.05,24.00-8.00-14.00 13.00:10.00
438.3,441.4,438.3,438.4,24.00-8.00-14.00 13.00:5.00
428,441,424.3,441,24.00-8.00-14.00 13.00:0.00
428.7,435.5,427.65,430.35,24.00-8.00-14.00 12.00:55.00
452.6,452.6,431.15,431.15,24.00-8.00-14.00 12.00:50.00
458.55,460.75,453.55,453.55,24.00-8.00-14.00 12.00:45.00
462.7,465.45,458.35,458.85,24.00-8.00-14.00 12.00:40.00
465,471.25,463.75,463.75,24.00-8.00-14.00 12.00:35.00
461.7,466.95,461.7,466.95,24.00-8.00-14.00 12.00:30.00
460.05,462.25,458,460.7,24.00-8.00-14.00 12.00:25.00
460,464.1,458.05,464.1,24.00-8.00-14.00 12.00:20.00
456.1,456.1,451.75,455.15,24.00-8.00-14.00 12.00:15.00
460.85,463.2,454.2,454.2,24.00-8.00-14.00 12.00:10.00
468,468,458.1,458.1,24.00-8.00-14.00 12.00:5.00
469.05,469.95,465,465,24.00-8.00-14.00 12.00:0.00
468,469.4,460.35,469.4,24.00-8.00-14.00 11.00:55.00
467.4,473.85,467.4,468,24.00-8.00-14.00 11.00:50.00
474.75,480.95,474.75,480.95,24.00-8.00-14.00 11.00:45.00
